nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Danny Ocean,82,reggaeton,5,Imagínate,Imagínate,2024
BTS,87,k-pop,21,FAKE LOVE,Love Yourself 轉 'Tear',2018
Maroon 5,88,pop,16,Payphone,Overexposed Track By Track,2012
Luis Miguel,83,mariachi,32,Ahora Te Puedes Marchar,Soy Como Quiero Ser,1987
Luis Miguel,83,bolero,32,Ahora Te Puedes Marchar,Soy Como Quiero Ser,1987
Luis Miguel,83,latin pop,32,Ahora Te Puedes Marchar,Soy Como Quiero Ser,1987
Alejandro Sanz,80,latin pop,27,Amiga mía,Más,1997
Calvin Harris,88,edm,7,We Found Love,Talk That Talk,2011
Karina,63,cumbia,10,SINVERGÜENZA - con Angela Torres,SINVERGÜENZA - con Angela Torres,2023
Karina,63,cuarteto,10,SINVERGÜENZA - con Angela Torres,SINVERGÜENZA - con Angela Torres,2023
Reik,78,latin pop,9,Yo Quisiera,Reik,2005
Adele,86,soft pop,4,Set Fire to the Rain,21,2011
JENNIE,88,k-pop,1,like JENNIE,Ruby,2025
Stray Kids,85,k-pop,21,Chk Chk Boom,ATE,2024
Katy Perry,87,pop,11,Last Friday Night (T.G.I.F.),Teenage Dream,2010
Selena Gomez,87,pop,6,Ojos Tristes (with The Marías),I Said I Love You First,2025
Charli xcx,87,hyperpop,12,party 4 u,how i'm feeling now,2020
Charli xcx,87,art pop,12,party 4 u,how i'm feeling now,2020
Maná,79,rock en español,25,Oye Mi Amor,¿Dónde Jugarán Los Niños?,1992
Maná,79,latin rock,25,Oye Mi Amor,¿Dónde Jugarán Los Niños?,1992
Maná,79,mexican rock,25,Oye Mi Amor,¿Dónde Jugarán Los Niños?,1992
Maná,79,latin pop,25,Oye Mi Amor,¿Dónde Jugarán Los Niños?,1992
DJ Tao,63,rkt,0,PÉGATE,PÉGATE,2024
DJ Tao,63,turreo,0,PÉGATE,PÉGATE,2024
DJ Tao,63,cumbia,0,PÉGATE,PÉGATE,2024
Aventura,81,bachata,7,Ella Y Yo - Featuring Don Omar,God's Project,2005
Aventura,81,bachata pop,7,Ella Y Yo - Featuring Don Omar,God's Project,2005
Anitta,82,brazilian pop,9,São Paulo (feat. Anitta),Hurry Up Tomorrow,2025
Anitta,82,funk pop,9,São Paulo (feat. Anitta),Hurry Up Tomorrow,2025
Anitta,82,funk carioca,9,São Paulo (feat. Anitta),Hurry Up Tomorrow,2025
Anitta,82,funk,9,São Paulo (feat. Anitta),Hurry Up Tomorrow,2025
Anitta,82,pagode baiano,9,São Paulo (feat. Anitta),Hurry Up Tomorrow,2025
Tainy,80,reggaeton,7,Callaita,Un Verano Sin Ti,2022
Joaquín Sabina,70,trova,34,19 Dias y 500 Noches,19 Dias Y 500 Noches,1999
Joaquín Sabina,70,singer-songwriter,34,19 Dias y 500 Noches,19 Dias Y 500 Noches,1999
Joaquín Sabina,70,nueva trova,34,19 Dias y 500 Noches,19 Dias Y 500 Noches,1999
Chayanne,76,latin pop,20,Bailando Bachata,Bailemos Otra Vez,2023
The Marías,86,bedroom pop,2,No One Noticed,Submarine,2024
Lil Wayne,89,rap,32,Love Me,I Am Not A Human Being II (Deluxe),2013
Lil Wayne,89,hip hop,32,Love Me,I Am Not A Human Being II (Deluxe),2013
Julieta Venegas,76,latin pop,12,Lo Siento BB:/,DATA,2023
Julieta Venegas,76,latin rock,12,Lo Siento BB:/,DATA,2023
Enrique Iglesias,81,latin pop,14,Bailando - Spanish Version,SEX AND LOVE,2015
Enrique Iglesias,81,latin,14,Bailando - Spanish Version,SEX AND LOVE,2015
Britney Spears,83,pop,11,Toxic,In The Zone,2003
Juanes,77,latin pop,17,Es Por Ti,Un Día Normal,2002
Juanes,77,colombian pop,17,Es Por Ti,Un Día Normal,2002
Juanes,77,rock en español,17,Es Por Ti,Un Día Normal,2002
Pablo Alborán,75,latin pop,12,Saturno,Prometo,2017
Cigarettes After Sex,86,dream pop,3,Apocalypse,Cigarettes After Sex,2017
Migrantes,63,cumbia,2,MERCHO,MERCHO,2022
Migrantes,63,cuarteto,2,MERCHO,MERCHO,2022
Migrantes,63,rkt,2,MERCHO,MERCHO,2022
Los Enanitos Verdes,74,rock en español,23,Lamento Boliviano,Big Bang,1994
Los Enanitos Verdes,74,latin rock,23,Lamento Boliviano,Big Bang,1994
Los Enanitos Verdes,74,argentine rock,23,Lamento Boliviano,Big Bang,1994
Los Enanitos Verdes,74,mexican rock,23,Lamento Boliviano,Big Bang,1994
Los Enanitos Verdes,74,latin alternative,23,Lamento Boliviano,Big Bang,1994
Sam Smith,83,soft pop,12,I'm Not The Only One,In The Lonely Hour,2014
