nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Seiji Ozawa,56,classical,50,"8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)",The Dvorák Album,1982
Seiji Ozawa,56,orchestra,50,"8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)",The Dvorák Album,1982
Gioachino Rossini,56,classical,50,William Tell Overture,Classics - Greatest Hits,1991
Gioachino Rossini,56,opera,50,William Tell Overture,Classics - Greatest Hits,1991
John Eliot Gardiner,57,choral,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
John Eliot Gardiner,57,classical,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
John Eliot Gardiner,57,opera,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
John Eliot Gardiner,57,requiem,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
Jenő Jandó,56,classical,50,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Liszt: Scherzo and March / 3 Liebestraume / Berceuse,1998
Jenő Jandó,56,classical piano,50,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Liszt: Scherzo and March / 3 Liebestraume / Berceuse,1998
Yngwie Malmsteen,50,neoclassical,30,Dream On,Guitar Gods: The Classic Rock Anthems,2006
Yngwie Malmsteen,50,power metal,30,Dream On,Guitar Gods: The Classic Rock Anthems,2006
Yngwie Malmsteen,50,heavy metal,30,Dream On,Guitar Gods: The Classic Rock Anthems,2006
Yngwie Malmsteen,50,glam metal,30,Dream On,Guitar Gods: The Classic Rock Anthems,2006
Trevor Pinnock,55,classical,50,"Concerto for 2 Mandolins in G Major, RV 532: III. Allegro","Vivaldi: Concerti ""Alla Rustica""",1986
Maria Callas,54,opera,50,"Bizet: Carmen, Act 1: ""L'amour est un oiseau rebelle"" (Habanera) [Carmen, Chorus]",Bizet: Carmen,1964
Maria Callas,54,classical,50,"Bizet: Carmen, Act 1: ""L'amour est un oiseau rebelle"" (Habanera) [Carmen, Chorus]",Bizet: Carmen,1964
Mikhail Pletnev,55,classical,50,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000
Mikhail Pletnev,55,classical piano,50,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000
ANGRA,54,power metal,16,Carry On,Angels Cry,1993
ANGRA,54,melodic metal,16,Carry On,Angels Cry,1993
ANGRA,54,symphonic metal,16,Carry On,Angels Cry,1993
ANGRA,54,progressive metal,16,Carry On,Angels Cry,1993
ANGRA,54,speed metal,16,Carry On,Angels Cry,1993
ANGRA,54,metal,16,Carry On,Angels Cry,1993
ANGRA,54,heavy metal,16,Carry On,Angels Cry,1993
Florian Christl,56,classical,5,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)","Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",2018
Florian Christl,56,neoclassical,5,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)","Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",2018
Khatia Buniatishvili,56,classical piano,12,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",Schubert,2019
Khatia Buniatishvili,56,classical,12,"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",Schubert,2019
Rhapsody,51,power metal,8,Emerald Sword,Symphony of Enchanted Lands,1998
Rhapsody,51,symphonic metal,8,Emerald Sword,Symphony of Enchanted Lands,1998
Rhapsody,51,melodic metal,8,Emerald Sword,Symphony of Enchanted Lands,1998
Rhapsody,51,speed metal,8,Emerald Sword,Symphony of Enchanted Lands,1998
Rhapsody,51,metal,8,Emerald Sword,Symphony of Enchanted Lands,1998
Rhapsody,51,folk metal,8,Emerald Sword,Symphony of Enchanted Lands,1998
Royal Concertgebouw Orchestra,55,classical,50,Jazz Suite No. 2: VI. Waltz II,Shostakovich: The Jazz Album,1992
Royal Concertgebouw Orchestra,55,orchestra,50,Jazz Suite No. 2: VI. Waltz II,Shostakovich: The Jazz Album,1992
Chicago Symphony Orchestra,55,classical,50,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Mahler: Symphony No. 5,1998
Chicago Symphony Orchestra,55,orchestra,50,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Mahler: Symphony No. 5,1998
Mattia Vlad Morleo,56,neoclassical,6,The Flying of a Leaf,The Flying of the Leaf,2017
John Field,56,classical,34,Nocturne No. 2 in C Minor,"Field: Piano Music, Vol. 1",1999
Igor Levit,54,classical piano,17,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Für Elise, Bagatelle No. 25 in A Minor, WoO 59",2015
Igor Levit,54,classical,17,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Für Elise, Bagatelle No. 25 in A Minor, WoO 59",2015
Yannick Nézet-Séguin,55,opera,50,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Rachmaninov Variations,2015
Yannick Nézet-Séguin,55,classical,50,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Rachmaninov Variations,2015
Riccardo Chailly,55,opera,50,Jazz Suite No. 2: VI. Waltz II,Shostakovich: The Jazz Album,1992
Riccardo Chailly,55,classical,50,Jazz Suite No. 2: VI. Waltz II,Shostakovich: The Jazz Album,1992
Riccardo Chailly,55,orchestra,50,Jazz Suite No. 2: VI. Waltz II,Shostakovich: The Jazz Album,1992
Valentina Lisitsa,54,classical piano,29,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Rachmaninov: Piano Concerto No.2,2012
Valentina Lisitsa,54,classical,29,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Rachmaninov: Piano Concerto No.2,2012
Valentina Lisitsa,54,minimalism,29,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Rachmaninov: Piano Concerto No.2,2012
Arcangelo Corelli,55,classical,50,"Adagio from Violin Sonata in G Minor, Op. 5 No. 5 (Arr. Leopold Stokowski)",Stokowski's Symphonic Baroque,2001
Arcangelo Corelli,55,chamber music,50,"Adagio from Violin Sonata in G Minor, Op. 5 No. 5 (Arr. Leopold Stokowski)",Stokowski's Symphonic Baroque,2001
Bavarian State Orchestra,53,opera,50,"La traviata, Act I: Libiamo ne' lieti calici ""Brindisi""",Verdi: La Traviata,1977
Bavarian State Orchestra,53,classical,50,"La traviata, Act I: Libiamo ne' lieti calici ""Brindisi""",Verdi: La Traviata,1977
Bavarian State Orchestra,53,orchestra,50,"La traviata, Act I: Libiamo ne' lieti calici ""Brindisi""",Verdi: La Traviata,1977
Lorin Maazel,55,classical,50,"Romeo and Juliet, Op. 64 / Act 1: Dance Of The Knights",Prokofiev: Romeo & Juliet,1973
Lorin Maazel,55,opera,50,"Romeo and Juliet, Op. 64 / Act 1: Dance Of The Knights",Prokofiev: Romeo & Juliet,1973
Lorin Maazel,55,orchestra,50,"Romeo and Juliet, Op. 64 / Act 1: Dance Of The Knights",Prokofiev: Romeo & Juliet,1973
Gautier Capuçon,56,chamber music,32,Satie / Orch. Ducros: Gymnopédie No. 1,Satie: Masterpieces,2023
Gautier Capuçon,56,classical,32,Satie / Orch. Ducros: Gymnopédie No. 1,Satie: Masterpieces,2023
Gustavo Dudamel,55,classical,50,¿Quien puede detener la lluvia?,The Liberator / Libertador (Original Motion Picture Soundtrack),2014
Gustavo Dudamel,55,orchestra,50,¿Quien puede detener la lluvia?,The Liberator / Libertador (Original Motion Picture Soundtrack),2014
Philippe Herreweghe,57,requiem,50,"Matthäus-Passion, BWV 244, Erster Teil: No. 1, Chorus I & II ""Kommt, ihr Töchter, helft mir klagen""",J.S. Bach: Matthäus-Passion BWV 244,1999
Philippe Herreweghe,57,choral,50,"Matthäus-Passion, BWV 244, Erster Teil: No. 1, Chorus I & II ""Kommt, ihr Töchter, helft mir klagen""",J.S. Bach: Matthäus-Passion BWV 244,1999
Philippe Herreweghe,57,classical,50,"Matthäus-Passion, BWV 244, Erster Teil: No. 1, Chorus I & II ""Kommt, ihr Töchter, helft mir klagen""",J.S. Bach: Matthäus-Passion BWV 244,1999
James Levine,53,opera,50,"L'elisir d'amore / Act II: ""Una furtiva lagrima""",Donizetti: The Elixir of Love,1990
James Levine,53,classical,50,"L'elisir d'amore / Act II: ""Una furtiva lagrima""",Donizetti: The Elixir of Love,1990
Olivia Belli,55,neoclassical,13,Island II,Sol Novo,2021
Kurt Masur,52,classical,50,"Beethoven: Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Beethoven : Symphony No.5 & Egmont (Apex),1993
Kurt Masur,52,orchestra,50,"Beethoven: Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Beethoven : Symphony No.5 & Egmont (Apex),1993
James Heather,55,neoclassical,4,Ultraviolet,Invisible Forces,2022
Neeme Järvi,54,classical,50,"Swan Lake, Op. 20, TH 12, Act II, No. 10: Scène (Moderato - Più mossoe)",Tchaikovsky: Swan Lake,2013
Neeme Järvi,54,orchestra,50,"Swan Lake, Op. 20, TH 12, Act II, No. 10: Scène (Moderato - Più mossoe)",Tchaikovsky: Swan Lake,2013
Michael Halasz,53,opera,50,"Le nozze di Figaro (The Marriage of Figaro), K. 492: Overture",Mozart For Inspiration,2021
Michael Halasz,53,classical,50,"Le nozze di Figaro (The Marriage of Figaro), K. 492: Overture",Mozart For Inspiration,2021
Richard Strauss,54,classical,50,"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",Love Songs - Piano Transcriptions Without Words,2021
Richard Strauss,54,orchestra,50,"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",Love Songs - Piano Transcriptions Without Words,2021
Richard Strauss,54,opera,50,"Morgen, Op. 27 No. 4 (Arr. Reger for Piano)",Love Songs - Piano Transcriptions Without Words,2021
Léo Delibes,53,classical,50,"The Flower Duet (From ""Lakmé"")",Serenade,2006
Léo Delibes,53,opera,50,"The Flower Duet (From ""Lakmé"")",Serenade,2006
Eugene Ormandy,54,classical,50,"Schwanengesang, D.957: No. 4 Serenade",Greatest Hits: Schubert,1994
Eugene Ormandy,54,orchestra,50,"Schwanengesang, D.957: No. 4 Serenade",Greatest Hits: Schubert,1994
Paul Lewis,53,classical,26,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3",2007
Paul Lewis,53,classical piano,26,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol. 3",2007
Aram Khachaturian,55,classical,50,Masquerade Suite: Waltz,"Khachaturian, A.I.: Spartacus, Suite No. 4 / Masquerade / Circus",1996
Idil Biret,54,classical piano,50,"16 Waltzes, Op. 39: No. 15 In A Flat Major","Hungarian Dances / Waltzes, Op. 39",1994
Idil Biret,54,classical,50,"16 Waltzes, Op. 39: No. 15 In A Flat Major","Hungarian Dances / Waltzes, Op. 39",1994
Isata Kanneh-Mason,55,classical,6,Carnival of the Animals: The Swan,Saint-Saëns: Carnival of the Animals: The Swan,2020
András Schiff,52,classical piano,50,"Piano Sonata No. 17 in D Minor, Op. 31 No. 2 ""Tempest"": III. Allegretto - Live at Tonhalle Zürich, 2005","Beethoven: The Piano Sonatas, Volume V (Live)",2007
András Schiff,52,classical,50,"Piano Sonata No. 17 in D Minor, Op. 31 No. 2 ""Tempest"": III. Allegretto - Live at Tonhalle Zürich, 2005","Beethoven: The Piano Sonatas, Volume V (Live)",2007
Christoph Willibald Gluck,54,classical,50,"Orfeo ed Euridice, Wq. 30: Dance of the Blessed Spirits ""Melody"" (Arr. Sgambati for Piano)",Fantasia,2012
Christoph Willibald Gluck,54,opera,50,"Orfeo ed Euridice, Wq. 30: Dance of the Blessed Spirits ""Melody"" (Arr. Sgambati for Piano)",Fantasia,2012
Sir Georg Solti,53,opera,50,"Die Walküre, WWV 86B - Concert version / Dritter Aufzug: The Ride of the Valkyries",Wagner: Der Ring des Nibelungen (orchestral excerpts),1983
Sir Georg Solti,53,classical,50,"Die Walküre, WWV 86B - Concert version / Dritter Aufzug: The Ride of the Valkyries",Wagner: Der Ring des Nibelungen (orchestral excerpts),1983
Sir Georg Solti,53,orchestra,50,"Die Walküre, WWV 86B - Concert version / Dritter Aufzug: The Ride of the Valkyries",Wagner: Der Ring des Nibelungen (orchestral excerpts),1983
Jordi Savall,53,medieval,50,Mozart : Requiem K. 626 - Lacrimosa,Mozart : Requiem,2011
Jordi Savall,53,classical,50,Mozart : Requiem K. 626 - Lacrimosa,Mozart : Requiem,2011
Juan Falú,32,folklore argentino,33,El Noi de la Mare,El Noi de la Mare,2024
Christopher Hogwood,53,classical,50,"Abdelazer, Z.570: 2. Rondeau",The World of The Academy of Ancient Music,2001
Christopher Hogwood,53,opera,50,"Abdelazer, Z.570: 2. Rondeau",The World of The Academy of Ancient Music,2001
Ola Gjeilo,55,choral,11,Still,Night,2020
Jules Massenet,53,classical,50,"Thaïs, Act II: Méditation","Poème - Chausson, Massenet, Saint-Saëns, Ravel",1991
