nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Eidyllion,4,power metal,3,En Mi Voz,Secretos (2007),2022
Eidyllion,4,argentine rock,3,En Mi Voz,Secretos (2007),2022
Gwar,45,thrash metal,22,Sick of You,Scumdogs of the Universe,1990
Gwar,45,metal,22,Sick of You,Scumdogs of the Universe,1990
Gwar,45,groove metal,22,Sick of You,Scumdogs of the Universe,1990
Mala Medicina,5,argentine rock,3,Sin Ti No Se Vivir,Mala Medicina,2004
Totue,5,boom bap,1,MARY JANE,Las Calles Hablan,2023
Reflejos,4,metalcore,1,Veneno,Historias,2015
Reflejos,4,post-hardcore,1,Veneno,Historias,2015
Reflejos,4,djent,1,Veneno,Historias,2015
Track,15,latin rock,6,Ave Fenix,Ave Fenix,1991
KRSSV,4,ebm,2,Reyerta,Coupe Fuego,2023
KRSSV,4,industrial,2,Reyerta,Coupe Fuego,2023
KRSSV,4,darkwave,2,Reyerta,Coupe Fuego,2023
Lemkin,8,christian rock,1,Mas que ayer,Anagramas,2017
Lemkin,8,post-hardcore,1,Mas que ayer,Anagramas,2017
MIA,5,progressive rock,7,El Casamiento de Alicia - Remasterizado,Transparencias (Remasterizado),1976
MIA,5,argentine rock,7,El Casamiento de Alicia - Remasterizado,Transparencias (Remasterizado),1976
MIA,5,symphonic rock,7,El Casamiento de Alicia - Remasterizado,Transparencias (Remasterizado),1976
MIA,5,art rock,7,El Casamiento de Alicia - Remasterizado,Transparencias (Remasterizado),1976
AlotronX,11,anime rap,0,Estallidos De Supernovas(Supernovas Macro Rap),Estallidos De Supernovas(Supernovas Macro Rap),2022
Hermit's Maze,10,progressive metal,1,Lumiancoma,Every Dream Has Its Bleakness,2020
Harpoon,4,symphonic metal,1,Todo de Mi,Cielo o Infierno,2023
Ratucha,5,punk,3,Lo Peor de Mi,No Espero Nada,2019
Neumanation,11,christian rock,1,Mira al Cielo,Nacion Espiritual,2016
Polgar 3,6,space rock,0,Cada Tanto,Cada Tanto / Fea Canción,2025
Polgar 3,6,krautrock,0,Cada Tanto,Cada Tanto / Fea Canción,2025
BAN THIS,4,nu metal,4,U Piece Of Shit,STOPMEIFUCAN,2004
BAN THIS,4,groove metal,4,U Piece Of Shit,STOPMEIFUCAN,2004
BAN THIS,4,rap metal,4,U Piece Of Shit,STOPMEIFUCAN,2004
Praisë,6,progressive metal,1,Mayor es tu Destino,Mayor es tu destino,2024
Praisë,6,christian rock,1,Mayor es tu Destino,Mayor es tu destino,2024
Devilsnite,4,psychobilly,2,Ad Noctum,Fighting Evil,2023
Dogma,15,groove metal,5,Runaway 2k,Superfix,2000
Rencore,3,nu metal,2,Fiel Voluntad,Sanarás,2013
Rencore,3,alternative metal,2,Fiel Voluntad,Sanarás,2013
Rencore,3,rap metal,2,Fiel Voluntad,Sanarás,2013
Jesusmartyr,3,groove metal,2,Next Biologycal Crisis,Sudamerican Porno,2016
Pacto Perpetuo,1,christian rock,1,Mi Viaje,Apogeo,2021
Pacto Perpetuo,1,power metal,1,Mi Viaje,Apogeo,2021
Hienas,9,hardcore,2,Estas Extremo,Jinetes del mal flash,2014
Cara-Cortada,4,hardcore punk,2,El Mundo Es Tuyo,Colores Verdaderos,2012
Cuero,5,argentine rock,2,Jungla De Neón,Tiempo Después,1973
