nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Daniel Harding,53,classical,50,Méditation from Thaïs,Szymanowski: Violin Concerto No.1,2005
English Baroque Soloists,54,choral,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
English Baroque Soloists,54,classical,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
English Baroque Soloists,54,opera,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
English Baroque Soloists,54,requiem,50,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,1987
Gustav Holst,55,classical,50,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Holst: The Planets,1981
Gustav Holst,55,orchestra,50,"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Holst: The Planets,1981
Daniil Trifonov,53,classical,19,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Rachmaninov Variations,2015
Daniil Trifonov,53,classical piano,19,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",Rachmaninov Variations,2015
Henry Purcell,54,classical,50,"Dido and Aeneas, Z. 626 / Act III: ""When I Am Laid in Earth"" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings)",Voice Of Hope,2020
Henry Purcell,54,choral,50,"Dido and Aeneas, Z. 626 / Act III: ""When I Am Laid in Earth"" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings)",Voice Of Hope,2020
Jean-Philippe Rameau,54,classical,50,The Arts and the Hours,Debussy – Rameau,2020
Jean-Philippe Rameau,54,classical piano,50,The Arts and the Hours,Debussy – Rameau,2020
Karoly Botvay,51,classical,28,"The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): I. Allegro non molto","Vivaldi, A.: The 4 Seasons / Sinfonias, Rv 112, 132, 149 and 169",1996
Murray Perahia,53,classical piano,50,"Piano Quintet in E-Flat Major, K. 452: II. Larghetto",Perahia & Mozart: Perfect Match,2023
Murray Perahia,53,classical,50,"Piano Quintet in E-Flat Major, K. 452: II. Larghetto",Perahia & Mozart: Perfect Match,2023
Jacob David,54,neoclassical,3,Nederlag,Nederlag,2021
Mstislav Rostropovich,52,classical,50,"Swan Lake Suite, Op. 20a: I. Scene ""Swan Theme"". Moderato","Tchaikovsky: Ballet Suites (Nutcracker, Swan Lake & Sleeping Beauty)",1996
Mstislav Rostropovich,52,chamber music,50,"Swan Lake Suite, Op. 20a: I. Scene ""Swan Theme"". Moderato","Tchaikovsky: Ballet Suites (Nutcracker, Swan Lake & Sleeping Beauty)",1996
RIOPY,54,neoclassical,11,Grandfather please stand on the shoulders of my father while he's deep-sea fishing (feat. RIOPY),Did you know that there's a tunnel under Ocean Blvd,2023
Mischa Maisky,52,chamber music,50,"Schwanengesang, D. 957: Ständchen",Schubert: Songs without Words,1996
Mischa Maisky,52,classical,50,"Schwanengesang, D. 957: Ständchen",Schubert: Songs without Words,1996
Nicolaus Esterhazy Sinfonia,51,classical,50,"Die Hochzeit des Figaro, K. 492, 3. Akt: Canzonetta sull aria… Che soave zeffiretto (Die Verurteilten): Sinfonia",Mozart: Nozze Di Figaro (Le) (The Marriage of Figaro),2004
Nicolaus Esterhazy Sinfonia,51,opera,50,"Die Hochzeit des Figaro, K. 492, 3. Akt: Canzonetta sull aria… Che soave zeffiretto (Die Verurteilten): Sinfonia",Mozart: Nozze Di Figaro (Le) (The Marriage of Figaro),2004
Pierre Boulez,53,classical,50,"Rapsodie espagnole, M. 54: I. Prélude à la nuit",Ravel: Boléro; La Valse; Rhapsodie Espagnole; Menuet antique; Ma Mère l'Oye,1971
Pierre Boulez,53,orchestra,50,"Rapsodie espagnole, M. 54: I. Prélude à la nuit",Ravel: Boléro; La Valse; Rhapsodie Espagnole; Menuet antique; Ma Mère l'Oye,1971
Pierre Boulez,53,avant-garde,50,"Rapsodie espagnole, M. 54: I. Prélude à la nuit",Ravel: Boléro; La Valse; Rhapsodie Espagnole; Menuet antique; Ma Mère l'Oye,1971
Jorn,50,power metal,13,Lightbringer,Smite and Ignite,2014
Jorn,50,hard rock,13,Lightbringer,Smite and Ignite,2014
Jorn,50,melodic metal,13,Lightbringer,Smite and Ignite,2014
Jorn,50,heavy metal,13,Lightbringer,Smite and Ignite,2014
Jorn,50,metal,13,Lightbringer,Smite and Ignite,2014
Alfred Brendel,52,classical piano,50,"Bagatelle ""Für Elise""",60 All Time Greatest Classics,2010
Alfred Brendel,52,classical,50,"Bagatelle ""Für Elise""",60 All Time Greatest Classics,2010
Vladimir Ashkenazy,52,classical piano,50,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso - Excerpt","Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso (Excerpt)",1963
Vladimir Ashkenazy,52,classical,50,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso - Excerpt","Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso (Excerpt)",1963
Vladimir Ashkenazy,52,chamber music,50,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso - Excerpt","Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso (Excerpt)",1963
José Carreras,47,opera,50,Amigos Para Siempre,Surrender (The Unexpected Songs),1995
Georg Philipp Telemann,52,classical,50,"Viola Concerto in G Major, TWV 51:G9: I. Largo",Telemann: Recorder Suite in A minor - Viola Concerto - Tafelmusik: 2 Concerti,1989
Antonio Pappano,51,opera,50,"Elgar: Cello Concerto in E Minor, Op. 85: III. Adagio","Elgar: Cello Concerto in E Minor, Op. 85: III. Adagio",2024
Antonio Pappano,51,classical,50,"Elgar: Cello Concerto in E Minor, Op. 85: III. Adagio","Elgar: Cello Concerto in E Minor, Op. 85: III. Adagio",2024
Tomaso Albinoni,51,classical,50,Adagio in G Minor,Adagio in G Minor,2017
Joseph Banowetz,52,classical piano,35,"Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano (arr. I. Friedman for piano)",Friedman: Piano Transcriptions,2016
Joseph Banowetz,52,classical,35,"Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano (arr. I. Friedman for piano)",Friedman: Piano Transcriptions,2016
Valery Gergiev,52,classical,50,Requiem: IIa. Dies irae,Verdi: Messa da Requiem,2001
